date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-09,0,0,21
2021-12-10,0,0,21
2021-12-11,0,0,23
2021-12-12,0,0,23
2021-12-13,0,0,25
2021-12-14,0,0,27
2021-12-15,0,0,27
2021-12-16,0,0,29
2021-12-17,0,0,31
2021-12-18,0,0,34
2021-12-19,0,0,38
2021-12-20,0,0,41
2021-12-21,0,0,45
2021-12-22,0,0,53
2021-12-23,0,0,58
2021-12-24,0,0,61
2021-12-25,0,0,60
2021-12-26,0,0,59
2021-12-27,0,0,60
2021-12-28,0,0,60
2021-12-29,0,0,60
2021-12-30,0,0,59
2021-12-31,0,0,60
2022-01-01,0,0,62
2022-01-02,0,0,63
2022-01-03,0,0,62
2022-01-04,0,0,62
2022-01-05,0,0,60
2022-01-06,0,0,63
2022-01-07,0,0,62
2022-01-08,0,0,60
2022-01-09,0,0,59
2022-01-10,0,0,58
2022-01-11,0,0,52
2022-01-12,0,0,48
2022-01-13,0,0,43
2022-01-14,0,0,40
2022-01-15,0,0,38
2022-01-16,0,0,36
2022-01-17,0,0,36
2022-01-18,0,0,35
2022-01-19,0,0,35
2022-01-20,0,0,34
2022-01-21,0,0,35
2022-01-22,0,0,36
2022-01-23,0,0,36
2022-01-24,0,0,37
2022-01-25,0,0,38
2022-01-26,0,0,38
2022-01-27,0,0,37
2022-01-28,0,0,30
2022-01-29,0,0,32
2022-01-30,0,0,30
2022-01-31,0,0,28
2022-02-01,0,0,27
2022-02-02,0,0,26
2022-02-03,0,0,25
2022-02-04,0,0,28
2022-02-05,0,0,25
2022-02-06,0,0,25
2022-02-07,0,0,29
2022-02-08,0,0,27
2022-02-09,0,0,27
2022-02-10,0,0,27
2022-02-11,0,0,25
2022-02-12,0,0,24
2022-02-13,0,0,23
2022-02-14,0,0,17
2022-02-15,0,0,17
2022-02-16,0,0,17
2022-02-17,0,0,16
2022-02-18,0,0,16
2022-02-19,0,0,16
2022-02-20,0,0,15
2022-02-21,0,0,15
2022-02-22,0,0,15
2022-02-23,0,0,14
2022-02-24,0,0,13
2022-02-25,0,0,18
2022-02-26,0,0,24
2022-02-27,0,0,25
2022-02-28,0,0,23
2022-03-01,0,0,23
2022-03-02,0,0,21
2022-03-03,0,0,19
2022-03-04,0,0,20
2022-03-05,0,0,17
2022-03-06,0,0,17
2022-03-07,0,0,20
2022-03-08,0,0,22
2022-03-09,0,0,22
2022-03-10,0,0,21
2022-03-11,0,0,23
2022-03-12,0,0,26
2022-03-13,0,0,29
2022-03-14,0,0,28
2022-03-15,0,0,28
2022-03-16,0,0,28
2022-03-17,0,0,29
2022-03-18,0,0,34
2022-03-19,0,0,33
2022-03-20,0,0,34
2022-03-21,0,0,34
2022-03-22,0,0,33
2022-03-23,0,0,34
2022-03-24,0,0,34
2022-03-25,0,0,32
2022-03-26,0,0,34
2022-03-27,0,0,37
2022-03-28,0,0,42
2022-03-29,0,0,50
2022-03-30,0,0,58
2022-03-31,0,0,70
2022-04-01,0,0,85
2022-04-02,0,0,86
2022-04-03,0,0,80
2022-04-04,0,0,74
2022-04-05,0,0,68
2022-04-06,0,0,69
2022-04-07,0,0,66
2022-04-08,0,0,56
2022-04-09,0,0,53
2022-04-10,0,0,51
2022-04-11,3,0,53
2022-04-12,6,1,50
2022-04-13,7,1,52
2022-04-14,11,2,59
2022-04-15,6,1,35
2022-04-16,17,4,67
2022-04-17,19,5,67
2022-04-18,16,4,62
2022-04-19,18,4,70
2022-04-20,20,5,74
2022-04-21,18,5,74
2022-04-22,32,10,106
2022-04-23,21,7,67
2022-04-24,27,10,74
2022-04-25,32,12,82
2022-04-26,36,15,84
2022-04-27,38,16,89
2022-04-28,43,18,99
2022-04-29,27,11,65
2022-04-30,50,23,108
2022-05-01,59,28,125
2022-05-02,61,29,129
2022-05-03,68,33,143
2022-05-04,73,35,151
2022-05-05,78,38,160
2022-05-06,120,63,229
2022-05-07,89,45,177
2022-05-08,93,48,178
2022-05-09,121,66,219
2022-05-10,130,73,229
2022-05-11,149,86,255
2022-05-12,152,88,260
2022-05-13,187,113,310
2022-05-14,236,149,373
2022-05-15,286,184,440
2022-05-16,313,205,476
2022-05-17,345,226,523
2022-05-18,384,253,578
2022-05-19,418,277,625
2022-05-20,486,318,735
2022-05-21,543,354,822
2022-05-22,586,384,883
2022-05-23,502,324,766
2022-05-24,542,343,840
2022-05-25,545,333,871
2022-05-26,567,338,927
2022-05-27,472,268,805
2022-05-28,448,224,856
2022-05-29,379,121,1062
2022-05-30,366,43,2060
2022-05-31,NaN,NaN,NaN
2022-05-31,NaN,NaN,NaN
2022-06-01,NaN,NaN,NaN
2022-06-01,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-02,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
2022-06-03,NaN,NaN,NaN
